"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",3.77,0,0,1.65,0,0,0,0,1.01,0,0,0,0,0,0,0.85,0.78,0,1.83,0,1.29,0.96,0,0,0
"ATX",0,15.16,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",1.2,1.65,6.29,0,0,1.33,0,1.34,0,1.25,1,1.82,0,0.62,1.2,0,0,0,0,1.31,0,0,0.58,0,0
"Bovespa",0,0,0,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.65,0,0,0,0,0,0
"BSE_Sensex",0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,3.25,0,0,0,4.97,0,0,0,0,0,0,-2.26,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,-0.83,-0.61,0,0,0,0,8.58,0,0,0,0,0,0,-0.43,0,0,0,0,0,-0.57,0,0,0,0
"Dow_30",0,0,0,0,0,0,0,0,2.48,0,0,0,1.84,0,0,0,0,0,3.51,0,0,0,0,0,0
"EURONEXT_100",0,-4.63,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,11.58,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,-0.41,0,0,0,-1,0,0,0,0,0,0
"IDX_Composite",0,0,0,0,0,0,0,0,-0.19,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0.22,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,4.6,0,0,-0.45,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,0,0,0.7,0,0.82,0,0,0,1.21,0,0,10.05,0,0,0,0,1.37,0.93,0,0.7,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,1.6,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,-0.35,0,0,0,-0.25,0,0,0,0,0,0,0,-0.36,2.9,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,-0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91,0,0,0,0,0,0
"Nikkei_225",0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,3.55,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,-0.56,0,0,0,0,0,0,0,0,0,0,0,10.17,-0.57,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,-3.31,0,0,0,0,0,0,0,0,3.71,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95
