"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATX",0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,12.8,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0.27,0.41,0.39,7.59,0,0.39,0.14,0.44,0,0.36,0.38,0.37,0,0,0,0.31,0,0,0,0,0,0.25,0,0.14,0.21
"BSE_Sensex",0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48,0,0,0,0,0
"CAC40",0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",0,0,0,-1.46,0,0,11.72,0,0,0,0,0,0,0,0,0,0,-0.82,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dow_30",0,0,0,0,0,0,0,0,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,13.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,12.58,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDX_Composite",0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0,-0.53,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,2.3,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,2.13,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,-0.22,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
"Nikkei_225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0
"Russell_2000",0,0,0,0,-0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.75,0,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.52,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95
